index,score
0,0.4672335147857666
1,0.519159346818924
2,0.4020779371261597
3,0.4962419271469116
4,0.5176176130771637
5,0.44489783942699435
6,0.4575424075126648
7,0.33092912212014197
8,0.47108091115951534
9,0.30685839280486105
10,0.32341199219226835
11,0.4231310963630676
12,0.2827222656458616
13,0.30362357944250107
14,0.41380988359451293
15,0.29936131183058023
16,0.3580420285463333
17,0.5467355132102967
18,0.39237377643585203
19,0.3782586604356765
20,0.31679843142628666
21,0.3559797272086143
22,0.38170382380485535
23,0.3325796529650688
24,0.3735626399517059
25,0.4005004942417144
26,0.3973885506391525
27,0.35952478945255273
28,0.33216280639171597
29,0.30663576889783145
30,0.34202270954847336
31,0.38163465857505796
32,0.4193109154701233
33,0.3605745792388916
34,0.3136845588684082
35,0.41824495196342465
36,0.4425092160701751
37,0.4531639158725738
38,0.45255589485168457
39,0.49591668248176574
40,0.44882392287254336
41,0.40691089332103725
42,0.36016471982002257
43,0.4140796154737472
44,0.4461062550544739
45,0.37629392445087434
46,0.4083456605672836
47,0.5306874990463257
48,0.3212963059544563
49,0.5055936455726623
50,0.44921514987945554
51,0.3272445917129516
52,0.49490675926208494
53,0.36690026521682734
54,0.3573373720049858
55,0.336528941988945
56,0.8756357312202454
57,0.40066659450531006
58,0.5321198165416717
59,0.3531616374850273
60,0.321432139724493
61,0.3058674540370703
62,0.38255018591880796
63,0.2959923444315791
64,0.4269814699888229
65,0.32338994219899175
66,0.3306198589503765
67,0.3565872251987457
68,0.42328181862831116
69,0.29145069401711227
70,0.36094888150691984
71,0.3150403618812561
72,0.46527432203292846
73,0.4148334860801697
74,0.3138101164251566
75,0.331158285588026
76,0.354887580871582
77,0.468292772769928
78,0.47771610617637633
79,0.4718354523181915
80,0.41331624090671537
81,0.3507132276892662
82,0.4790666878223419
83,0.3357101753354072
84,0.4010779023170471
85,0.4104050517082214
86,0.45712451934814446
87,0.33985945880413054
88,0.36392279863357546
89,0.3185215428471565
90,0.4377306818962097
91,0.3316191405057907
92,0.3612546220421791
93,0.4271937221288681
94,0.4339879721403122
95,0.4041888892650604
96,0.4138996124267578
97,0.48571776151657103
98,0.503165066242218
99,0.41785889267921444
100,0.4089739233255386
101,0.3926637232303619
102,0.4183126509189605
